neutral,2018-04-25 , Infosys $INFY and Verisign $VRSN Head-To-Head Review https://t.co/slmgNjj3JT,0.0
neutral,2018-04-25 ," RT @StockRatingsHQ: Thursday, April 26th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $A…",0.0
neutral,2018-04-25 , Reviewing Verisign $VRSN and Infosys $INFY https://t.co/J392JQKauX,0.0
neutral,2018-04-25 ," Thursday, April 26th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY… https://t.co/zBizsitDdU",0.0
neutral,2018-04-25 , INFY SELL WEEKLY - RSI DIVERGENCE $INFY https://t.co/Ze8SsEwhVP,0.0
negative,2018-04-25 , Q3 2019 EPS Estimates for Infosys Cut by KeyCorp $INFY https://t.co/pDGYwgVUAD,-1.0
negative,2018-04-25 , Q3 2019 EPS Estimates for Infosys Cut by KeyCorp $INFY https://t.co/sxvLLIOZBr,-1.0
neutral,2018-04-25 , KeyCorp Lowers Infosys Q3 2019 Earnings Estimates to $0.26 EPS (Previously $0.27). https://t.co/p3YlLfb0hZ $INFY #INFY,0.0
positive,2018-04-25 ," RT @PortoRicanRasta: $NVCN https://t.co/RYwAI5rkmZ Medical device maker Boston Scientific tops profit estimates, raises forecast $STNG $F $…",2.0
positive,2018-04-25 ," $NVCN https://t.co/RYwAI5rkmZ Medical device maker Boston Scientific tops profit estimates, raises forecast $STNG… https://t.co/c0Xo4BvOwE",2.0
neutral,2018-04-25 , Weekly Research Analysts’ Ratings Changes for Infosys $INFY https://t.co/I1b6xrt6tT,0.0
neutral,2018-04-25 , $NVCN Institutions are loading up on Neovasc $STNG $F $DAL $UVXY $BBD $FCX $MSFT $IQ $PFE $USO $C $XLE $AKS $TEVA… https://t.co/t6dtWIqI8T,0.0
positive,2018-04-25 , Infosys $INFY Shares Gap Down to $17.42 https://t.co/Mpwox6ALHE,1.0
positive,2018-04-25 , Infosys $INFY Shares Gap Down to $17.42 https://t.co/MeLkIbsRAw,1.0
neutral,2018-04-25 ," Infosys $INFY Receiving Somewhat Favorable News Coverage, Report Shows https://t.co/2zvvjQztQ7",0.0
positive,2018-04-25 , Somewhat Favorable Press Coverage Somewhat Unlikely to Affect Infosys $INFY Share Price https://t.co/WHWt4qXn8d,1.0
neutral,2018-04-25 , $INFY Possible short. - S: $17.01 / SL: $17.25 https://t.co/lQRaSAeBr5,0.0
neutral,2018-04-24 ," RT @StockRatingsHQ: Wednesday, April 25th 2018 - New Buy, Sell or Hold Ratings Issued For:  $IFXY $NGBL $TEAM $ILST $BKEN $NFLX $OCSY $SQ $…",0.0
neutral,2018-04-24 , Tough day for #DOW $NVCN Neovasc is TRENDING UP $STNG $F $DAL $UVXY $BBD $FCX $MSFT $IQ $PFE $USO $C $XLE $AKS… https://t.co/3Df6SwF8Ns,0.0
positive,2018-04-24 , RT @loudanepro: $FUSZ SHORT-SQUEEZE time. Presenting in L.V. now! CRM disruption! Amazing. $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NV…,2.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
positive,2018-04-24 , RT @loudanepro: $FUSZ SHORT-SQUEEZE time. Presenting in L.V. now! CRM disruption! Amazing. $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NV…,2.0
neutral,2018-04-24 , RT @loudanepro: $fusz $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVDA $IBM $SAP $ADBE $TXN $AVGO $CRM $QCOM $BIDU $AABA $MU $VMW $ITW $A…,0.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
neutral,2018-04-24 , RT @loudanepro: $fusz $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVDA $IBM $SAP $ADBE $TXN $AVGO $CRM $QCOM $BIDU $AABA $MU $VMW $ITW $A…,0.0
positive,2018-04-24 , RT @loudanepro: $FUSZ SHORT-SQUEEZE time. Presenting in L.V. now! CRM disruption! Amazing. $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NV…,2.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
positive,2018-04-24 , RT @picks_alert: $ACOL HUGE NEWS Acology Purchases Entire MedTainer Intellectual Property Portfolio https://t.co/dQvcu3lfXg @frontpagestock…,1.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
neutral,2018-04-24 , $fusz $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVDA $IBM $SAP $ADBE $TXN $AVGO $CRM $QCOM $BIDU $AABA $MU $VMW… https://t.co/A5wORM179u,0.0
negative,2018-04-24 , RT @loudanepro: $FUSZ NBC news! Disruption in CRM! SHORT-SQUEEZE: https://t.co/DQ6fyXOMog $AAPL $GOOG $MSFT $ORCL $FB $INTV $CSCO $TSM $NVD…,-2.0
